Item number,Title,Variation details,Custom label (SKU),Available quantity,Format,Currency,Start price,Auction Buy It Now price,Reserve price,Current price,Sold quantity,Watchers,Bids,Start date,End date,eBay category 1 name,eBay category 1 number,eBay category 2 name,eBay category 2 number,Condition,CD:Professional Grader - (ID: 27501),CD:Grade - (ID: 27502),CDA:Certification Number - (ID: 27503),CD:Card Condition - (ID: 40001),eBay Product ID(ePID),Listing site,P:UPC,P:EAN,P:ISBN
"322543141710",LOST IN SPACE THE MOVIE (90) PREMIUM BASE TRADING CARD SET MINT/NEAR MINT,,,"10","FIXED_PRICE","USD",11.99,,,11.99,"0","2","","Jun-04-17 21:19:13 PDT","Nov-04-25 21:19:13 PST","Trading Card Sets","183052","","","New","","","","","","US","","",""
"322545732601",Dark Horse Star Wars CHEWBACCA #1 of 4  Mint,,,"2","FIXED_PRICE","USD",3.99,,,3.99,"0","0","","Jun-06-17 20:35:11 PDT","Nov-06-25 20:35:11 PST","Comics & Graphic Novels","259104","","","","","","","","","US","","",""
"322546563345",Dark Horse Star Wars CHEWBACCA #2 of 4  Mint,,,"2","FIXED_PRICE","USD",3.99,,,3.99,"0","0","","Jun-07-17 12:18:19 PDT","Nov-07-25 12:18:19 PST","Comics & Graphic Novels","259104","","","","","","","","","US","","",""
"324444271666",Fleer Casper Cards Pack. ,,,"10","FIXED_PRICE","USD",2.99,,,2.99,"0","0","","Jan-06-21 16:34:56 PST","Nov-06-25 16:34:56 PST","Sealed Trading Card Packs","183053","","","New/Factory Sealed","","","","","","US","","",""
"324551567274",Lost in Space Classic Series - Sealed Trading Card Box - Inkworks 1997,,,"1","FIXED_PRICE","USD",129.0,,,129.0,"0","10","","Apr-02-21 08:09:21 PDT","Nov-02-25 08:09:21 PST","Sealed Trading Card Boxes","261035","","","New/Factory Sealed","","","","","","US","","",""
"324582832512",🔥 Rare Vintage Godzilla! 🐊 JPP/Amada 1995 Trading Cards Box 🔥 ,,,"30","FIXED_PRICE","USD",249.95,,,249.95,"23","121","","Apr-20-21 19:22:54 PDT","Nov-20-25 19:22:54 PST","Sealed Trading Card Boxes","261035","","183053","New/Factory Sealed","","","","","","US","","",""
"324827485079",Star Wars CCG A New Hope LIMITED BOOSTER PACK (4x) 9 card FACTORY SEALED!,,,"3","FIXED_PRICE","USD",67.95,,,67.95,"0","5","","Oct-11-21 19:17:41 PDT","Nov-11-25 19:17:41 PST","CCG Sealed Packs","183456","","","New/Factory Sealed","","","","","","US","","",""
"325012478680",STAR WARS X-Wing Rouge Squadron: Masquerade (1998) -- #1 - 4 -- FULL Set,,,"1","FIXED_PRICE","USD",99.95,,,99.95,"0","0","","Jan-23-22 13:12:40 PST","Nov-23-25 13:12:40 PST","Comics & Graphic Novels","259104","","","Brand New","","","","","","US","Does not apply","",""
"325063710507",🔥 Low #'s 1993 MARVEL MASTERPIECES TRADING CARDS SEALED SkyBox BOX 🔥,"Serial Numbers=078708 of 350,000;078709 of 350,000;078710 of 350,000;078711 of 350,000;078712 of 350,000;078713 of 350,000;078714 of 350,000;078715 of 350,000;078716 of 350,000;078717 of 350,000;079637 of 350,000;086836 of 350,000;079605 of 350,000;079634 of 350,000;086838 of 350,000",,"7","FIXED_PRICE","USD",205.95,,,205.95,"8","49","","Feb-21-22 15:29:23 PST","Nov-21-25 15:29:23 PST","Sealed Trading Card Boxes","261035","","","New/Factory Sealed","","","","","","US","","",""
"325063710507",🔥 Low #'s 1993 MARVEL MASTERPIECES TRADING CARDS SEALED SkyBox BOX 🔥,"Serial Numbers=079605 of 350,000",079605,"0","FIXED_PRICE","USD",190.95,,,,"1",,,"Feb-21-22 15:29:23 PST","Nov-21-25 15:29:23 PST","Sealed Trading Card Boxes","261035","","","New/Factory Sealed",,,,,"","US","","",""
"325063710507",🔥 Low #'s 1993 MARVEL MASTERPIECES TRADING CARDS SEALED SkyBox BOX 🔥,"Serial Numbers=079637 of 350,000",79637,"0","FIXED_PRICE","USD",195.95,,,,"1",,,"Feb-21-22 15:29:23 PST","Nov-21-25 15:29:23 PST","Sealed Trading Card Boxes","261035","","","New/Factory Sealed",,,,,"","US","","",""
"325063710507",🔥 Low #'s 1993 MARVEL MASTERPIECES TRADING CARDS SEALED SkyBox BOX 🔥,"Serial Numbers=078716 of 350,000",78716,"1","FIXED_PRICE","USD",205.95,,,,"0",,,"Feb-21-22 15:29:23 PST","Nov-21-25 15:29:23 PST","Sealed Trading Card Boxes","261035","","","New/Factory Sealed",,,,,"","US","","",""
