1,A New Hope,04/12/1977,"Imperial Forces  led by  Darth Vader  capture  Princess   Leia Organa's  ship, which is on a mission for the  Rebel Alliance . Two  droids ,  R2-D2  and  C-3PO , manage to escape from the Rebel ship with data critical to the Princess' cause."
2,Six Against the Galaxy,05/10/1977,"Luke Skywalker  is rescued from an attacking band of  Sand People  by  Obi-Wan Kenobi . Once Luke, Obi-Wan, and the two  droids   R2-D2  and  C-3PO  are safely in  Obi-Wan Kenobi's hut , R2 plays a recorded message for Kenobi from the  Princess   Leia Organa  asking  him  to bring the little droid and the critical information contained within its memory to  Alderaan . Initially Luke refuses to accompany Obi-Wan on his journey because of his obligations at home, but upon learning that his home has been destroyed and his uncle  Owen  and aunt  Beru  have been  killed  by  Imperial   stormtroopers , he agrees to go along. They hire  Han Solo  and  Chewbacca  to  pilot  them to Alderaan aboard the  Millennium Falcon ."
3,Death Star!,06/07/1977,"Grand Moff   Wilhuff Tarkin  destroys the planet  Alderaan  with the  Death Star , while the captive  Princess   Leia Organa  looks on in despair. Meanwhile,  Obi-Wan Kenobi  and  Luke Skywalker , with the  droids   R2-D2  and  C-3PO , are being transported to Alderaan in the  Millennium Falcon ,  piloted  by  Han Solo  and  Chewbacca . As they approach their destination they discover the remnants of the destroyed planet and are soon captured by the Death Star. While on the Death Star, they find that Princess Leia is being held there, and they attempt to  rescue  her from her captors."
4,In Battle with Darth Vader,07/12/1977,"After having some difficulty escaping  Imperial   stormtroopers  aboard the  Death Star , Luke Skywalker, Han Solo,  Chewbacca , and the rescued  Princess  Leia Organa meet with the  droids   R2-D2  and  C-3PO  at  Docking Bay 327 , which holds the  Millennium Falcon . Obi-Wan Kenobi also arrives but is confronted by Darth Vader, and the two engage in a  lightsaber  duel. Vader strikes Kenobi down in the duel, but in the confusion Luke, Leia, Han, and the rest of the group make their escape from the Death Star aboard the  Falcon ."
5,"Lo, the Moons of Yavin!",08/10/1977,"Luke Skywalker ,  Han Solo ,  Chewbacca , and  Princess   Leia Organa  flee the Death Star to the Rebel Alliance base on the moon  Yavin 4 . There they deliver  R2-D2  to the Rebels, who use the information he is carrying to create a plan to destroy the Death Star. Meanwhile, the Death Star has followed the  Millennium Falcon  to the Rebel base intent on destroying it. Panicked, the Rebels send their pilots on a mission to destroy the Death Star. Luke, who has decided to help the Rebels, meets up with his old friend  Biggs Darklighter  as they get ready to blast off into space."
6,The Final Chapter?,09/13/1977,"The  Death Star's  imminent attack on the Rebel Alliance  base  on  Yavin 4  prompts the Rebels to send a squad of  T-65 X-wing starfighters  to destroy the giant  space station . A  space battle  ensues between the  X-wings  and  Imperial   TIE fighters .  Luke Skywalker , with the timely help of  Han Solo  and  Chewbacca , exploits the Death Star's tiny weakness and destroys it, saving the day for the Rebellion. On Yavin 4, an  award ceremony  is held for the Rebel heroes."
7,"New Planets, New Perils!",10/11/1977,"After bidding farewell to their  Rebel  friends, Han Solo and Chewbacca set out to return to  Tatooine  to pay off their debt to Jabba the  Hutt . En route, they are hijacked by space pirate  Crimson Jack  and his gang of thugs. The pirates take the reward  money  given to Han and Chewbacca by the Rebel Alliance for  rescuing   Princess   Leia Organa  but spare their lives."
8,Eight for Aduba-3,11/08/1977,11/08/1977,"Han Solo and Chewbacca are hired by  Ramiz , a moisture farmer on  Aduba-3 , to protect his village from a band of local thugs known as the Cloud-Riders, led by  Serji-X Arrogantus . Han and Chewbacca hire six misfit  spacers  to help them with the task, including  Don-Wan Kihotay , an old man who thinks he is a  Jedi Knight , and  Jaxxon , a  rabbit -like  Lepi  with a mean disposition. Serji-X tries to convince Han to forget about his mission to protect the peasants and even offers him compensation, but Han declines."
9,Showdown on a Wasteland World!,12/13/1977,"Han Solo, Chewbacca, and the  Star-Hoppers of Aduba-3  arrive at  Ramiz 's village  Onacra , only to find it under attack by flying  High-hounds . They repel the beasts, saving the life of a young girl named  Merri , who is the daughter of  Oncho , the village spokesman. Their relief is short-lived as  Serji-X Arrogantus  and his  Cloud-Riders  attack. The Star-Hoppers valiantly defend the village from the attack, but not without cost, as  FE-9Q  is destroyed in the fray. However, Merri's grandfather the  Old One , a  shaman , dismisses the hired  spacers'  help and summons a large, mythical reptilian monster called the  Behemoth from the World Below  to handle the invading Cloud-Riders."
10,Behemoth from the World Below,01/10/1978,"The  Old One  has summoned the Behemoth, a giant reptilian monster, to defend the village  Onacra  from the villainous  Cloud-Riders .  Serji-X Arrogantus , the leader of the Cloud-Riders, realizes that he and his men have no chance against the beast, and he also realizes that the giant is being controlled by the old  shaman . He attacks the Old One, but the Behemoth reacts in time to kill Serji-X. However, the shaman is killed as well, causing the monster to run amok. With the rest of the  Star-Hoppers of Aduba-3  running for cover, would-be  Jedi Knight   Don-Wan Kihotay  tries to stop the great beast on his own.  Hedji  tries to help him, but is easily killed by the monster. Han Solo rushes to help Kihotay and uses the man's  lightsaber  to destroy the Behemoth, saving the village."
