issue_number,title,release_date,description,Key Issue
001,Star Wars: A New Hope,01/15/1977,"This issue follows Star Wars: A New Hope, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This issue explores another adventure of the Star Warriors as they continue their fight against the Empire.",Yes
002,Six Against the Galaxy,02/19/1977,"This issue follows Six Against the Galaxy, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This issue explores another adventure of the Star Warriors as they continue their fight against the Empire.",Yes
003,Death Star!,03/26/1977,"This issue follows Death Star!, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This issue explores another adventure of the Star Warriors as they continue their fight against the Empire.",Yes
004,In Battle with Darth Vader,04/11/1977,"This issue follows In Battle with Darth Vader, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This issue explores another adventure of the Star Warriors as they continue their fight against the Empire.",Yes
005,"Lo, The Moons of Yavin!",05/07/1977,"This issue follows Lo, The Moons of Yavin!, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This issue explores another adventure of the Star Warriors as they continue their fight against the Empire.",Yes
006,Is This the Final Chapter?,06/19/1977,"This issue follows Is This the Final Chapter?, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This issue explores another adventure of the Star Warriors as they continue their fight against the Empire.",Yes
007,"New Planets, New Perils!",07/13/1977,"This issue follows New Planets, New Perils!, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This issue explores another adventure of the Star Warriors as they continue their fight against the Empire.",Yes
008,Eight for Aduba-3,08/07/1977,"This issue follows Eight for Aduba-3, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This issue explores another adventure of the Star Warriors as they continue their fight against the Empire.",Yes
009,Showdown on a Wasteland World,09/04/1977,"This issue follows Showdown on a Wasteland World, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This issue explores another adventure of the Star Warriors as they continue their fight against the Empire.",Yes
010,Behemoth from the World Below,10/24/1977,"This issue follows Behemoth from the World Below, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This issue explores another adventure of the Star Warriors as they continue their fight against the Empire.",No
011,Star Search,11/25/1977,"This issue follows Star Search, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This issue explores another adventure of the Star Warriors as they continue their fight against the Empire.",No
012,Doomworld,12/13/1977,"This issue follows Doomworld, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This issue explores another adventure of the Star Warriors as they continue their fight against the Empire.",No
013,The Sound of Armageddon,01/21/1978,"This issue follows The Sound of Armageddon, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This issue explores another adventure of the Star Warriors as they continue their fight against the Empire.",No
014,The Day after the Death Star,02/10/1978,"This issue follows The Day after the Death Star, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This issue explores another adventure of the Star Warriors as they continue their fight against the Empire.",No
015,Star Duel,03/02/1978,"This issue follows Star Duel, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This issue explores another adventure of the Star Warriors as they continue their fight against the Empire.",No
016,The Hunter,04/24/1978,"This issue follows The Hunter, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This issue explores another adventure of the Star Warriors as they continue their fight against the Empire.",Yes
017,The Empire Strikes,05/04/1978,"This issue follows The Empire Strikes, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This issue explores another adventure of the Star Warriors as they continue their fight against the Empire.",No
018,The Flame Winds of Oseon,06/04/1978,"This issue follows The Flame Winds of Oseon, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This issue explores another adventure of the Star Warriors as they continue their fight against the Empire.",No
019,The Ultimate Gamble,07/01/1978,"This issue follows The Ultimate Gamble, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This is a key issue because it introduces a major character or event that impacts the Star Wars universe.",Yes
020,Deathgame,08/22/1978,"This issue follows Deathgame, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This issue explores another adventure of the Star Warriors as they continue their fight against the Empire.",No
021,The Empire Strikes Back: Beginning,09/28/1978,"This issue follows The Empire Strikes Back: Beginning, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This issue explores another adventure of the Star Warriors as they continue their fight against the Empire.",No
022,The Search Begins,10/14/1978,"This issue follows The Search Begins, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This issue explores another adventure of the Star Warriors as they continue their fight against the Empire.",No
023,Flight into Fury,11/25/1978,"This issue follows Flight into Fury, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This issue explores another adventure of the Star Warriors as they continue their fight against the Empire.",No
024,Siege at Yavin,12/24/1978,"This issue follows Siege at Yavin, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This issue explores another adventure of the Star Warriors as they continue their fight against the Empire.",Yes
025,Return to Tatooine,01/28/1979,"This issue follows Return to Tatooine, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This issue explores another adventure of the Star Warriors as they continue their fight against the Empire.",No
026,Droid World,02/23/1979,"This issue follows Droid World, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This issue explores another adventure of the Star Warriors as they continue their fight against the Empire.",No
027,Dark Encounter,03/23/1979,"This issue follows Dark Encounter, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This issue explores another adventure of the Star Warriors as they continue their fight against the Empire.",No
028,Cavern of the Crawling Death,04/04/1979,"This issue follows Cavern of the Crawling Death, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This issue explores another adventure of the Star Warriors as they continue their fight against the Empire.",No
029,What Ever Happened to Jabba the Hut?,05/23/1979,"This issue follows What Ever Happened to Jabba the Hut?, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This issue explores another adventure of the Star Warriors as they continue their fight against the Empire.",No
030,A Princess Alone,06/20/1979,"This issue follows A Princess Alone, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This issue explores another adventure of the Star Warriors as they continue their fight against the Empire.",No
031,The Jawa Express,07/10/1979,"This issue follows The Jawa Express, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This issue explores another adventure of the Star Warriors as they continue their fight against the Empire.",No
032,Darth Vader Strikes,08/09/1979,"This issue follows Darth Vader Strikes, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This issue explores another adventure of the Star Warriors as they continue their fight against the Empire.",No
033,The Mandalore Plot,09/07/1979,"This issue follows The Mandalore Plot, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This issue explores another adventure of the Star Warriors as they continue their fight against the Empire.",Yes
034,The Third Law,10/11/1979,"This issue follows The Third Law, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This is a key issue because it introduces a major character or event that impacts the Star Wars universe.",No
035,Day of the Dragon Lords,11/20/1979,"This issue follows Day of the Dragon Lords, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This issue explores another adventure of the Star Warriors as they continue their fight against the Empire.",Yes
036,Doom Mission,12/23/1979,"This issue follows Doom Mission, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This issue explores another adventure of the Star Warriors as they continue their fight against the Empire.",Yes
037,The Last Jedi,01/08/1980,"This issue follows The Last Jedi, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This issue explores another adventure of the Star Warriors as they continue their fight against the Empire.",No
038,Thunder in the Stars,02/04/1980,"This issue follows Thunder in the Stars, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This issue explores another adventure of the Star Warriors as they continue their fight against the Empire.",No
039,The Last Jedi!,03/09/1980,"This issue follows The Last Jedi!, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This issue explores another adventure of the Star Warriors as they continue their fight against the Empire.",Yes
040,Return to Cloud City,04/20/1980,"This issue follows Return to Cloud City, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This is a key issue because it introduces a major character or event that impacts the Star Wars universe.",Yes
041,Bounty Hunters!,05/14/1980,"This issue follows Bounty Hunters!, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This issue explores another adventure of the Star Warriors as they continue their fight against the Empire.",Yes
042,Riders in the Void,06/27/1980,"This issue follows Riders in the Void, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This issue explores another adventure of the Star Warriors as they continue their fight against the Empire.",Yes
043,The Long Hunt,07/28/1980,"This issue follows The Long Hunt, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This issue explores another adventure of the Star Warriors as they continue their fight against the Empire.",Yes
044,The Crimson Forever,08/09/1980,"This issue follows The Crimson Forever, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This issue explores another adventure of the Star Warriors as they continue their fight against the Empire.",Yes
